RA,dec,mjd,exptime,band,filter,nexp,airmass,night,visittime,scheduler_note,
0.7609261925473332, -0.24272258280057923, 60912.200862293124, 30.0, 'g', 'g', 2, 2.3557437576707074, 0, 34.4, 'ToO GW_case_F 18_t0_i0 2',
0.7817851487957821, -0.28662901302481303, 60912.20131365535, 30.0, 'g', 'g', 2, 2.302808818122097, 0, 34.4, 'ToO GW_case_F 18_t0_i0 3',
0.8031187208745969, -0.3302696053904597, 60912.20176500988, 30.0, 'g', 'g', 2, 2.288465577272819, 0, 34.4, 'ToO GW_case_F 18_t0_i0 4',
0.8250615242510033, -0.37369232185652024, 60912.202216360514, 30.0, 'g', 'g', 2, 2.2797167779985474, 0, 34.4, 'ToO GW_case_F 18_t0_i0 6',
0.8478327764191143, -0.41707519622673517, 60912.20266773404, 30.0, 'g', 'g', 2, 2.276528379270526, 0, 34.4, 'ToO GW_case_F 18_t0_i0 7',
0.7609261925473332, -0.24272258280057923, 60912.204454771076, 30.0, 'i', 'i', 2, 2.2647827550871273, 0, 34.4, 'ToO GW_case_F 18_t0_i0 93',
0.7817851487957821, -0.28662901302481303, 60912.20490620629, 30.0, 'i', 'i', 2, 2.21371334111731, 0, 34.4, 'ToO GW_case_F 18_t0_i0 94',
0.8031187208745969, -0.3302696053904597, 60912.20535763402, 30.0, 'i', 'i', 2, 2.2010361041130975, 0, 34.4, 'ToO GW_case_F 18_t0_i0 95',
0.8250615242510033, -0.37369232185652024, 60912.20580905724, 30.0, 'i', 'i', 2, 2.1936987023499235, 0, 34.4, 'ToO GW_case_F 18_t0_i0 97',
0.8478327764191143, -0.41707519622673517, 60912.20626050202, 30.0, 'i', 'i', 2, 2.1916826597101626, 0, 34.4, 'ToO GW_case_F 18_t0_i0 98',
0.7404344625991737, -0.19853774226272192, 60912.208047539054, 30.0, 'g', 'g', 2, 2.1907605826249945, 0, 34.4, 'ToO GW_case_F 18_t0_i0 1',
0.8721217545358124, -0.46137553701847245, 60912.20859092407, 30.0, 'g', 'g', 2, 2.156154713392599, 0, 34.4, 'ToO GW_case_F 18_t0_i0 9',
0.7404344625991737, -0.19853774226272192, 60912.210377961106, 30.0, 'i', 'i', 2, 2.13812784642705, 0, 34.4, 'ToO GW_case_F 18_t0_i0 92',
0.8721217545358124, -0.46137553701847245, 60912.21092231817, 30.0, 'i', 'i', 2, 2.1072068900039262, 0, 34.4, 'ToO GW_case_F 18_t0_i0 100',
0.8175031660439158, -0.24410896468316978, 60912.212709355204, 30.0, 'g', 'g', 2, 2.2801505869160748, 0, 34.4, 'ToO GW_case_F 18_t0_i0 5',
0.8613104219007148, -0.3307453082850431, 60912.213167041176, 30.0, 'g', 'g', 2, 2.2341112267984062, 0, 34.4, 'ToO GW_case_F 18_t0_i0 8',
0.8841501340080509, -0.3738155012723885, 60912.2136184386, 30.0, 'g', 'g', 2, 2.2301507801183824, 0, 34.4, 'ToO GW_case_F 18_t0_i0 10',
0.9075188464072603, -0.4176098431399411, 60912.21406994465, 30.0, 'g', 'g', 2, 2.2291670513109225, 0, 34.4, 'ToO GW_case_F 18_t0_i0 11',
0.9273043243155286, -0.4688145153212, 60912.21452227957, 30.0, 'g', 'g', 2, 2.204694679176783, 0, 34.4, 'ToO GW_case_F 18_t0_i0 12',
0.9374493581261172, -0.5178853700880353, 60912.214973858616, 30.0, 'g', 'g', 2, 2.1541636213945483, 0, 34.4, 'ToO GW_case_F 18_t0_i0 13',
0.9387477164570752, -0.5721075003284453, 60912.21542587144, 30.0, 'g', 'g', 2, 2.0760033645380482, 0, 34.4, 'ToO GW_case_F 18_t0_i0 14',
0.8175031660439158, -0.24410896468316978, 60912.21721290848, 30.0, 'i', 'i', 2, 2.171750898609204, 0, 34.4, 'ToO GW_case_F 18_t0_i0 96',
0.8613104219007148, -0.3307453082850431, 60912.2176707307, 30.0, 'i', 'i', 2, 2.1311712062067127, 0, 34.4, 'ToO GW_case_F 18_t0_i0 99',
